GDP,BAMLHYH0A0HYM2TRIV,CPIAUCSL,UNRATE,SP500
10002.857,363.74,170,4.1,1394.46
10002.857,358.4,171,4,1366.42
10247.679,358.41,170.9,3.8,1498.58
10247.679,353.9,171.2,4,1452.43
10247.679,360.73,172.2,4,1420.60
10319.825,362.67,172.7,4,1454.60
10319.825,366.23,172.7,4.1,1430.83
10319.825,363.06,173.6,3.9,1517.68
10439.025,351.5,173.9,3.9,1436.51
10439.025,338.02,174.2,3.9,1429.40
10439.025,345.71,174.6,3.9,1314.95
10472.879,367.6,175.6,4.2,1320.28
10472.879,373.18,176,4.2,1366.01
10472.879,365.71,176.1,4.3,1239.94
10597.822,360.75,176.4,4.4,1160.33
10597.822,367.08,177.3,4.3,1249.46
10597.822,357.41,177.7,4.5,1255.82
10596.294,363.22,177.4,4.6,1224.38
10596.294,366.08,177.4,4.9,1211.23
10596.294,340.79,178.1,5,1133.58
10660.294,351.69,177.6,5.3,1040.94
10660.294,364.05,177.5,5.5,1059.78
10660.294,361.19,177.4,5.7,1139.45
10788.952,363.19,177.7,5.7,1148.08
10788.952,358.4,178,5.7,1130.20
10788.952,367.45,178.5,5.7,1106.73
10893.207,373.34,179.3,5.9,1147.39
10893.207,370.48,179.5,5.8,1076.92
10893.207,341.81,179.6,5.8,1067.14
10992.051,328.54,180,5.8,989.82
10992.051,336.74,180.5,5.7,911.62
10992.051,331.5,180.8,5.7,916.07
11071.463,328.71,181.2,5.7,815.28
11071.463,349.27,181.5,5.9,885.76
11071.463,354.35,181.8,6,936.31
11183.507,364.99,182.6,5.8,879.82
11183.507,369.9,183.6,5.9,855.70
11183.507,379.66,183.9,5.9,841.15
11312.875,401.73,183.2,6,848.18
11312.875,406.33,182.9,6.1,916.92
11312.875,417.71,183.1,6.3,963.59
11567.326,412.05,183.7,6.2,974.50
11567.326,417.31,184.5,6.1,993.32
11567.326,428.64,185.1,6.1,1008.01
11769.275,437.53,184.9,6,995.97
11769.275,443.57,185,5.8,1050.71
11769.275,454.1,185.5,5.7,1058.20
11920.169,461.43,186.3,5.7,1111.92
11920.169,460.92,186.7,5.6,1131.13
11920.169,464,187.1,5.8,1144.94
12108.987,460.94,187.4,5.6,1126.21
12108.987,453.69,188.2,5.6,1107.30
12108.987,460.29,188.9,5.6,1120.68
12303.34,466.49,189.1,5.5,1140.84
12303.34,474.97,189.2,5.4,1101.72
12303.34,481.58,189.8,5.4,1104.24
12522.425,490.87,190.8,5.5,1114.58
12522.425,495.97,191.7,5.4,1130.20
12522.425,503.45,191.7,5.4,1173.82
12761.337,502.94,191.6,5.3,1211.92
12761.337,510.13,192.4,5.4,1181.27
12761.337,496.19,193.1,5.2,1203.60
12910.022,490.87,193.7,5.2,1180.59
12910.022,499.66,193.6,5.1,1156.85
12910.022,509.17,193.7,5,1191.50
13142.873,517.16,194.9,5,1191.33
13142.873,519.03,196.1,4.9,1234.18
13142.873,513.83,198.8,5,1220.33
13332.316,510.09,199.1,5,1228.81
13332.316,512.55,198.1,5,1207.01
13332.316,517.24,198.1,4.9,1249.48
13603.933,525.44,199.3,4.7,1248.29
13603.933,528.76,199.4,4.8,1280.08
13603.933,532.06,199.7,4.7,1280.66
13749.806,535.48,200.7,4.7,1294.83
13749.806,535.15,201.3,4.6,1310.61
13749.806,533.12,201.8,4.6,1270.09
13867.469,538.8,202.9,4.7,1270.20
13867.469,547.52,203.8,4.7,1276.66
13867.469,554.72,202.8,4.5,1303.82
14037.228,562.82,201.9,4.4,1335.85
14037.228,571.81,202,4.5,1377.94
14037.228,578.1,203.1,4.4,1400.63
14208.569,584.31,203.437,4.6,1418.30
14208.569,592.45,204.226,4.5,1438.24
14208.569,593.83,205.288,4.4,1406.82
14382.363,601.69,205.904,4.5,1420.86
14382.363,605.97,206.755,4.4,1482.37
14382.363,595.76,207.234,4.6,1530.62
14535.003,577.05,207.603,4.7,1503.35
14535.003,583.48,207.667,4.6,1455.27
14535.003,597.74,208.547,4.7,1473.99
14681.501,601.36,209.19,4.7,1526.75
14681.501,589.05,210.834,4.7,1549.38
14681.501,590.78,211.445,5,1481.14
14651.039,582.75,212.174,5,1468.36
14651.039,575.83,212.687,4.9,1378.55
14651.039,572.84,213.448,5.1,1330.63
14805.611,596.71,213.942,5,1322.70
14805.611,599.26,215.208,5.4,1385.59
14805.611,583.21,217.463,5.6,1400.38
14835.187,573.86,219.016,5.8,1280.00
14835.187,575.71,218.69,6.1,1267.38
14835.187,527.94,218.877,6.1,1282.83
14559.543,441.9,216.995,6.5,1166.36
14559.543,404.63,213.153,6.8,968.75
14559.543,434.88,211.398,7.3,896.24
14394.547,457.96,211.933,7.8,903.25
14394.547,442.09,212.705,8.3,825.88
14394.547,456.69,212.495,8.7,735.09
14352.85,509.05,212.709,9,797.87
14352.85,545.26,213.022,9.4,872.81
14352.85,562.6,214.79,9.5,919.14
14420.312,597.39,214.726,9.5,919.32
14420.312,609.54,215.445,9.6,987.48
14420.312,645.96,215.861,9.8,1020.62
14628.021,657.5,216.509,10,1057.08
14628.021,664.16,217.234,9.9,1036.19
14628.021,684.98,217.347,9.9,1095.63
14721.35,695.36,217.488,9.8,1115.10
14721.35,696.44,217.281,9.8,1073.87
14721.35,718,217.353,9.9,1104.49
14926.098,734.08,217.403,9.9,1169.43
14926.098,708.23,217.29,9.6,1186.69
14926.098,717.47,217.199,9.4,1089.41
15079.917,742.33,217.605,9.4,1030.71
15079.917,743.49,217.923,9.5,1101.60
15079.917,765.56,218.275,9.5,1049.33
15240.843,784.13,219.035,9.4,1141.20
15240.843,775.38,219.59,9.8,1183.26
15240.843,789.04,220.472,9.3,1180.55
15285.828,805.62,221.187,9.1,1257.64
15285.828,816.4,221.898,9,1286.12
15285.828,819.83,223.046,9,1327.22
15496.189,832.29,224.093,9.1,1325.83
15496.189,836.36,224.806,9,1363.61
15496.189,827.96,224.806,9.1,1345.20
15591.85,838.18,225.395,9,1320.64
15591.85,804.6,226.106,9,1292.28
15591.85,775.67,226.597,9,1218.89
15796.46,821.87,226.75,8.8,1131.42
15796.46,803.7,227.169,8.6,1253.30
15796.46,823.62,227.223,8.5,1246.96
16019.758,847.53,227.842,8.3,1257.60
16019.758,866.84,228.329,8.3,1312.41
