DATE,GDP
1/1/2000,10002.857
4/1/2000,10247.679
7/1/2000,10319.825
10/1/2000,10439.025
1/1/2001,10472.879
4/1/2001,10597.822
7/1/2001,10596.294
10/1/2001,10660.294
1/1/2002,10788.952
4/1/2002,10893.207
7/1/2002,10992.051
10/1/2002,11071.463
1/1/2003,11183.507
4/1/2003,11312.875
7/1/2003,11567.326
10/1/2003,11769.275
1/1/2004,11920.169
4/1/2004,12108.987
7/1/2004,12303.34
10/1/2004,12522.425
1/1/2005,12761.337
4/1/2005,12910.022
7/1/2005,13142.873
10/1/2005,13332.316
1/1/2006,13603.933
4/1/2006,13749.806
7/1/2006,13867.469
10/1/2006,14037.228
1/1/2007,14208.569
4/1/2007,14382.363
7/1/2007,14535.003
10/1/2007,14681.501
1/1/2008,14651.039
4/1/2008,14805.611
7/1/2008,14835.187
10/1/2008,14559.543
1/1/2009,14394.547
4/1/2009,14352.85
7/1/2009,14420.312
10/1/2009,14628.021
1/1/2010,14721.35
4/1/2010,14926.098
7/1/2010,15079.917
10/1/2010,15240.843
1/1/2011,15285.828
4/1/2011,15496.189
7/1/2011,15591.85
10/1/2011,15796.46
1/1/2012,16019.758
4/1/2012,16152.257
7/1/2012,16257.151
10/1/2012,16358.863
1/1/2013,16569.591
4/1/2013,16637.926
7/1/2013,16848.748
10/1/2013,17083.137
1/1/2014,17104.555
4/1/2014,17432.909
7/1/2014,17721.657
10/1/2014,17849.912
1/1/2015,18003.399
4/1/2015,18223.577
7/1/2015,18347.425
10/1/2015,18378.803
1/1/2016,18470.156
4/1/2016,18656.207
7/1/2016,18821.359
10/1/2016,19032.58
1/1/2017,19237.435
4/1/2017,19379.232
7/1/2017,19617.288
10/1/2017,19937.963
1/1/2018,20242.215
4/1/2018,20552.653
7/1/2018,20742.723
10/1/2018,20909.853
1/1/2019,21115.309
4/1/2019,21329.877
7/1/2019,21540.325
10/1/2019,21747.394
1/1/2020,21561.139
4/1/2020,19520.114
7/1/2020,21157.635
